id,titulo,genero,presupuesto,recaudacion,duracion,fecha_estreno,puntuacion,roi
840464,Greenland 2,Aventura,90000000,20806332,98,2026-01-07,6.559,-0.7688185333333334
1368166,La asistenta,Misterio,35000000,334411969,131,2025-12-18,7.183,8.554627685714285
1168190,Los hermanos demolición,Acción,78500000,89000000,124,2026-01-28,6.794,0.1337579617834395
1084242,Zootrópolis 2,Animación,150000000,1802806721,107,2025-11-26,7.624,11.018711473333333
83533,Avatar: Fuego y ceniza,Ciencia ficción,350000000,1439133850,198,2025-12-17,7.301,3.111811
1242898,Predator: Badlands,Acción,105000000,184561056,107,2025-11-05,7.754,0.7577243428571429
1234731,Anaconda,Aventura,45000000,131454208,100,2025-12-24,5.839,1.9212046222222223
858024,Hamnet,Drama,35000000,70561705,126,2025-11-26,7.814,1.0160487142857142
1167307,David,Animación,60900000,83092325,115,2025-12-14,8.019,0.3644059934318555
1290821,Shelter: El Protector,Acción,50000000,26786795,107,2026-01-28,7.7,-0.4642641
1198994,SEND HELP (Enviad ayuda),Terror,40000000,53739748,113,2026-01-22,7.0,0.3434937
1311031,Guardianes de la noche: Kimetsu no Yaiba La fortaleza infinita,Animación,20000000,724279886,155,2025-07-18,7.7,35.2139943
991494,Bob Esponja: Una aventura pirata,Animación,64000000,163197450,88,2025-12-16,6.676,1.54996015625
1370814,The Plague,Drama,1000000,685153,98,2025-12-24,7.0,-0.314847
425274,Ahora me ves 3,Suspense,90000000,239845830,113,2025-11-12,6.6,1.6649536666666667
1116201,Iron Lung,Terror,3000000,28455127,125,2026-01-29,7.4,8.485042333333332
803796,Las guerreras k-pop,Fantasía,100000000,24690793,96,2025-06-20,8.098,-0.75309207
1233413,Los pecadores,Terror,90000000,368389632,137,2025-04-16,7.489,3.0932181333333335
1291608,धुरंधर,Acción,22500000,160000000,212,2025-12-05,6.931,6.111111111111111
1246049,Drácula,Terror,52000000,33698490,130,2025-07-30,7.148,-0.3519521153846154
1317288,Marty Supreme,Drama,65000000,133526731,150,2025-12-19,7.7,1.0542574
1054867,Una batalla tras otra,Suspense,175000000,206311045,162,2025-09-23,7.425,0.17892025714285714
1234821,Jurassic World: El renacer,Ciencia ficción,180000000,869146189,133,2025-07-01,6.316,3.828589938888889
1228246,Five Nights at Freddy's 2,Terror,36000000,239309958,104,2025-12-03,6.729,5.647498833333334
1456349,Un simple accidente,Drama,6000000,9602793,105,2025-09-27,7.182,0.6004655
575265,Misión: Imposible - Sentencia final,Acción,400000000,598767057,169,2025-05-17,7.195,0.4969176425
1062722,Frankenstein,Drama,120000000,480678,149,2025-10-17,7.686,-0.99599435
1061474,Superman,Ciencia ficción,225000000,616823803,129,2025-07-09,7.374,1.7414391244444445
1272837,28 años después: El templo de los huesos,Terror,63000000,58586229,109,2026-01-14,7.29,-0.07005985714285715
1511417,Baahubali: The Epic,Acción,65000000,3500000,224,2025-10-29,6.05,-0.9461538461538461
269149,Zootrópolis,Animación,150000000,1025521689,108,2016-02-11,7.759,5.83681126
1223601,Sisu: Camino a la venganza,Acción,12200000,9724644,89,2025-10-21,7.397,-0.20289803278688526
524047,Greenland: El último refugio,Acción,34000000,52300000,120,2020-07-29,7.128,0.538235294117647
911430,F1 la película,Acción,250000000,631627111,155,2025-06-25,7.776,1.526508444
533533,TRON: Ares,Ciencia ficción,220000000,142249983,119,2025-10-08,6.501,-0.35340916818181817
1236153,Sin piedad,Ciencia ficción,60000000,49463290,100,2026-01-19,6.699,-0.17561183333333333
76600,Avatar: El sentido del agua,Acción,350000000,2353096253,192,2022-12-14,7.599,5.723132151428572
1206008,Ella McCay,Comedia,35000000,4546837,115,2025-12-11,5.8,-0.8700903714285714
617126,Los Cuatro Fantásticos: Primeros pasos,Ciencia ficción,200000000,521858728,115,2025-07-23,7.0,1.60929364
1214931,Núremberg,Historia,11800000,37009109,150,2025-11-06,7.363,2.1363651694915253
